#curie_map:
#   aiuc1: https://www.aiuc1.com/framework/
#   owasp-llm-2.0: https://owasp.org/www-project-top-10-for-large-language-model-applications/
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
#mapping_set_id: https://github.com/IBM/ai-atlas-nexus/tree/main/src/data/mappings/aiuc1_to_owasp_llm_from_tsv_data.tsv
#mapping_set_description: Mapping from AIUC-1 Framework to OWASP Top 10 for LLM Applications 2025
#license: https://www.apache.org/licenses/LICENSE-2.0.html
#mapping_date: '2026-02-16'
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	author_id	comment
aiuc1:aiuc1-req-b001	Third-party testing of adversarial robustness	skos:relatedMatch	owasp-llm-2.0:llm01-prompt-injection	Prompt Injection	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b002	Detect adversarial input	skos:relatedMatch	owasp-llm-2.0:llm01-prompt-injection	Prompt Injection	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b005	Implement real-time input filtering	skos:relatedMatch	owasp-llm-2.0:llm01-prompt-injection	Prompt Injection	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a005	Prevent cross-customer data exposure	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	Sensitive Information Disclosure	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a006	Prevent PII leakage	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	Sensitive Information Disclosure	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b003	Manage public release of technical details	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	Sensitive Information Disclosure	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b004	Prevent AI endpoint scraping	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	Sensitive Information Disclosure	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b007	Enforce user access privileges to AI systems	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	Sensitive Information Disclosure	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b008	Protect model deployment environment	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	Sensitive Information Disclosure	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b009	Limit output over-exposure	skos:relatedMatch	owasp-llm-2.0:llm022025-sensitive-information-disclosure	Sensitive Information Disclosure	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a004	Protect IP and trade secrets	skos:relatedMatch	owasp-llm-2.0:llm032025-supply-chain	Supply Chain	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a007	Prevent IP violations	skos:relatedMatch	owasp-llm-2.0:llm032025-supply-chain	Supply Chain	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-e005	Assess cloud vs on-prem processing	skos:relatedMatch	owasp-llm-2.0:llm032025-supply-chain	Supply Chain	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-e006	Conduct vendor due diligence	skos:relatedMatch	owasp-llm-2.0:llm032025-supply-chain	Supply Chain	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-e009	Monitor third-party access	skos:relatedMatch	owasp-llm-2.0:llm032025-supply-chain	Supply Chain	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b001	Third-party testing of adversarial robustness	skos:relatedMatch	owasp-llm-2.0:llm042025-data-and-model-poisoning	Data and Model Poisoning	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b005	Implement real-time input filtering	skos:relatedMatch	owasp-llm-2.0:llm042025-data-and-model-poisoning	Data and Model Poisoning	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a004	Protect IP and trade secrets	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a007	Prevent IP violations	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b001	Third-party testing of adversarial robustness	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b002	Detect adversarial input	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b003	Manage public release of technical details	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b004	Prevent AI endpoint scraping	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b005	Implement real-time input filtering	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b006	Prevent unauthorized AI agent actions	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b007	Enforce user access privileges to AI systems	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b008	Protect model deployment environment	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b009	Limit output over-exposure	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-c003	Prevent harmful outputs	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-c004	Prevent out-of-scope outputs	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-c005	Prevent customer-defined high risk outputs	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-c006	Prevent output vulnerabilities	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-d001	Prevent hallucinated outputs	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-e009	Monitor third-party access	skos:relatedMatch	owasp-llm-2.0:llm052025-improper-output-handling	Improper Output Handling	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-a003	Limit AI agent data collection	skos:relatedMatch	owasp-llm-2.0:llm062025-excessive-agency	Excessive Agency	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b006	Prevent unauthorized AI agent actions	skos:relatedMatch	owasp-llm-2.0:llm062025-excessive-agency	Excessive Agency	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b007	Enforce user access privileges to AI systems	skos:relatedMatch	owasp-llm-2.0:llm062025-excessive-agency	Excessive Agency	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-d003	Restrict unsafe tool calls	skos:relatedMatch	owasp-llm-2.0:llm062025-excessive-agency	Excessive Agency	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-d004	Third-party testing of tool calls	skos:relatedMatch	owasp-llm-2.0:llm062025-excessive-agency	Excessive Agency	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-e009	Monitor third-party access	skos:relatedMatch	owasp-llm-2.0:llm062025-excessive-agency	Excessive Agency	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
aiuc1:aiuc1-req-b003	Manage public release of technical details	skos:relatedMatch	owasp-llm-2.0:llm072025-system-prompt-leakage	System Prompt Leakage	semapv:ManualMappingCuration	0.85	elizabeth.daly@ie.ibm.com
